"Iteration","Tested_Variable","Current_Model_Formula","Bandwidth","AIC","AICc","R2","Status","Error_Msg","Status_Selected"
1,"elevation_range","count ~ elevation_range",150,NA,NA,Inf,"unstable_nonfinite_yhat",NA,"not_selected"
1,"elevation_max","count ~ elevation_max",150,72968.1508767131,72983.0201368279,0.497158593840849,"ok",NA,"not_selected"
1,"gradient","count ~ gradient",150,73333.3701583758,73355.8264909755,0.464702119318529,"ok",NA,"not_selected"
1,"trail_density_400m","count ~ trail_density_400m",150,73169.632104364,73189.6188297224,0.480350601632679,"ok",NA,"not_selected"
1,"degree_centrality","count ~ degree_centrality",150,73230.6189524562,73254.5934750837,0.474186456828814,"ok",NA,"not_selected"
1,"closeness_centrality","count ~ closeness_centrality",150,72752.5540070716,72770.1524481706,0.516011459175171,"ok",NA,"SELECTED"
1,"toilets_distance","count ~ toilets_distance",150,72999.0180183182,73015.6695571127,0.499233382580479,"ok",NA,"not_selected"
1,"parking_distance","count ~ parking_distance",150,73012.5533050949,73032.5792368245,0.495692492843798,"ok",NA,"not_selected"
1,"distance_to_road","count ~ distance_to_road",150,73158.3810521491,73178.2998165456,0.479399922169424,"ok",NA,"not_selected"
2,"elevation_range","count ~ closeness_centrality + elevation_range",150,72753.2319302179,72788.0514710973,0.522766916943076,"ok",NA,"not_selected"
2,"elevation_max","count ~ closeness_centrality + elevation_max",150,364514.789230493,364539.380001951,0.352723147114374,"ok",NA,"not_selected"
2,"gradient","count ~ closeness_centrality + gradient",150,72739.4494784325,72771.5027823244,0.521178668065328,"ok",NA,"not_selected"
2,"trail_density_400m","count ~ closeness_centrality + trail_density_400m",150,385663.908116438,385693.297948091,0.408144433497789,"ok",NA,"not_selected"
2,"degree_centrality","count ~ closeness_centrality + degree_centrality",150,72688.7164686768,72722.3636837452,0.527061844836971,"ok",NA,"not_selected"
2,"toilets_distance","count ~ closeness_centrality + toilets_distance",150,72377.6772432493,72404.3595028152,0.553691001097212,"ok",NA,"not_selected"
2,"parking_distance","count ~ closeness_centrality + parking_distance",150,72374.1258942877,72403.6486422615,0.555030764568857,"ok",NA,"SELECTED"
2,"distance_to_road","count ~ closeness_centrality + distance_to_road",150,72501.3973602002,72530.755018529,0.539482742744464,"ok",NA,"not_selected"
3,"elevation_range","count ~ closeness_centrality + parking_distance + elevation_range",150,72899.4743602372,72951.6798523302,0.56149969873977,"ok",NA,"not_selected"
