Iteration,Tested_Variable,Current_Model_Formula,Bandwidth,AIC,AICc,R2,Status,Error_Msg,Status_Selected
1,trail_density_400m,count ~ trail_density_400m,76,72595.64,72615.14,0.617009,ok,NA,SELECTED
1,elevation_range,count ~ elevation_range,191,75798.34271,75813.97981,0.277205407,ok,NA,not_selected
1,elevation_max,count ~ elevation_max,2071,75186.0593,75186.16315,0.241398596,ok,NA,not_selected
1,gradient,count ~ gradient,72,72662.00362,72758.53592,0.603974529,ok,NA,not_selected
1,Rural_settlement_distances,count ~ Rural_settlement_distances,290,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
1,Small_urban_distances,count ~ Small_urban_distances,181,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
1,Forest_proportion,count ~ Forest_proportion,752,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
1,Grassland_proportion,count ~ Grassland_proportion,752,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
1,Scrubland_proportion,count ~ Scrubland_proportion,467,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
1,Water_Bodies_proportion,count ~ Water_Bodies_proportion,2248,75423.75305,75423.84011,0.21446344,ok,NA,not_selected
1,degree_centrality,count ~ degree_centrality,104,72883.05678,72933.68183,0.519536092,ok,NA,not_selected
1,closeness_centrality,count ~ closeness_centrality,181,73010.54061,73022.97239,0.49265891,ok,NA,not_selected
1,eateries_distance,count ~ eateries_distance,4844,76421.44087,76421.45026,0.080330192,ok,NA,not_selected
1,parking_distance,count ~ parking_distance,104,72597.88723,72637.0367,0.547333037,ok,NA,not_selected
1,distance_to_road,count ~ distance_to_road,3458,75724.87851,75724.91841,0.173883309,ok,NA,not_selected2
2,elevation_max,count ~ trail_density_400m + elevation_max,130,72658.82359,72695.17032,0.52915253,ok,NA,SELECTED
2,gradient,count ~ trail_density_400m + gradient,98,72713.26361,72793.74043,0.544317897,ok,NA,not_selected
2,Rural_settlement_distances,count ~ trail_density_400m + Rural_settlement_distances,467,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
2,Small_urban_distances,count ~ trail_density_400m + Small_urban_distances,752,Inf,Inf,Inf,ok,NA,not_selected
2,Forest_proportion,count ~ trail_density_400m + Forest_proportion,752,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
2,Grassland_proportion,count ~ trail_density_400m + Grassland_proportion,752,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
2,Scrubland_proportion,count ~ trail_density_400m + Scrubland_proportion,467,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
2,Water_Bodies_proportion,count ~ trail_density_400m + Water_Bodies_proportion,2424,75192.6215,75192.74486,0.243875943,ok,NA,not_selected
2,degree_centrality,count ~ trail_density_400m + degree_centrality,123,72827.20442,72881.30865,0.519681322,ok,NA,not_selected
2,closeness_centrality,count ~ trail_density_400m + closeness_centrality,264,73240.18574,73250.2511,0.47629515,ok,NA,not_selected
2,eateries_distance,count ~ trail_density_400m + eateries_distance,4844,76291.88437,76291.9011,0.100023877,ok,NA,not_selected
2,parking_distance,count ~ trail_density_400m + parking_distance,114,114572.6509,64502.38256,2.679346876,ok,NA,not_selected
2,distance_to_road,count ~ trail_density_400m + distance_to_road,2886,75219.48869,75219.58676,0.239363234,ok,NA,not_selected
3,elevation_range,count ~ trail_density_400m + elevation_max + elevation_range,223,150990.4639,151012.5364,0.183941501,ok,NA,not_selected
3,gradient,count ~ trail_density_400m + elevation_max + gradient,72,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
3,Rural_settlement_distances,count ~ trail_density_400m + elevation_max + Rural_settlement_distances,467,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
3,Small_urban_distances,count ~ trail_density_400m + elevation_max + Small_urban_distances,3920,75299.96504,75300.03821,0.230191393,ok,NA,not_selected
3,degree_centrality,count ~ trail_density_400m + elevation_max + degree_centrality,123,587874.6809,587945.844,0.592558328,ok,NA,not_selected
3,toilets_distance,count ~ trail_density_400m + elevation_max + toilets_distance,98,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
3,closeness_centrality,count ~ trail_density_400m + elevation_max + closeness_centrality,274,72931.40611,72944.46782,0.502251648,ok,NA,SELECTED
3,eateries_distance,count ~ trail_density_400m + elevation_max + eateries_distance,4844,76073.2276,76073.25319,0.12934731,ok,NA,not_selected
3,parking_distance,count ~ trail_density_400m + elevation_max + parking_distance,181,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
3,distance_to_road,count ~ trail_density_400m + elevation_max + distance_to_road,2886,75085.33733,75085.49552,0.254275604,ok,NA,not_selected
4,elevation_range,count ~ trail_density_400m + elevation_max + closeness_centrality +      elevation_range,290,72965.39231,72983.79908,0.502611767,ok,NA,not_selected
4,gradient,count ~ trail_density_400m + elevation_max + closeness_centrality +      gradient,114,Inf,Inf,Inf,ok,NA,not_selected
4,Rural_settlement_distances,count ~ trail_density_400m + elevation_max + closeness_centrality +      Rural_settlement_distances,752,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
4,Small_urban_distances,count ~ trail_density_400m + elevation_max + closeness_centrality +      Small_urban_distances,752,Inf,Inf,Inf,ok,NA,not_selected
4,degree_centrality,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality,264,72873.31408,72895.28154,0.510034957,ok,NA,SELECTED
4,toilets_distance,count ~ trail_density_400m + elevation_max + closeness_centrality +      toilets_distance,114,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
4,eateries_distance,count ~ trail_density_400m + elevation_max + closeness_centrality +      eateries_distance,4844,75432.03182,75432.07252,0.213170791,ok,NA,not_selected
4,parking_distance,count ~ trail_density_400m + elevation_max + closeness_centrality +      parking_distance,290,723440993.4,702340201.8,1.030592776,ok,NA,not_selected
4,distance_to_road,count ~ trail_density_400m + elevation_max + closeness_centrality +      distance_to_road,2601,74692.03345,74692.30842,0.304390511,ok,NA,not_selected
5,elevation_range,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + elevation_range,264,72832.15029,72863.7384,0.517153276,ok,NA,not_selected
5,gradient,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + gradient,233,1460061.611,1460100.856,0.53216247,ok,NA,not_selected
5,Rural_settlement_distances,count ~ trail_density_400m + elevation_max + closeness_centrality +      degree_centrality + Rural_settlement_distances,752,NA,NA,Inf,unstable_nonfinite_yhat,NA,not_selected
